date,week_ahead,point,mode,true,q_1,q_2,q_5,q_10,q_15,q_20,q_25,q_30,q_35,q_40,q_45,q_55,q_60,q_65,q_70,q_75,q_80,q_85,q_90,q_95,q_97,q_99
2021-04-11,1,0.15,train,0.37,3.502634619508881e-08,8.72320546846327e-07,9.929502227792483e-06,0.00011304174143023557,0.00046916975122679206,0.001288944148152323,0.0028264975039480437,0.0053789967976188395,0.009291505393050641,0.014967839611322515,0.022889350364499378,0.047981080849873056,0.06687760553402454,0.09168442214275122,0.1243593866982019,0.16793203579561888,0.22749916827524355,0.3127044702899614,0.44550324285317616,0.6973842790344796,0.9706758909593352,1.353233158629739
2021-04-18,1,0.25,train,0.76,2.5201478397621534e-05,0.00017349092690341082,0.0007470375292699986,0.003224509040505382,0.007613982008628652,0.014067048975011895,0.022750935175899212,0.03386712832566927,0.047667361663549464,0.0644723440550458,0.0846969882103461,0.13777391339513007,0.17236435704156466,0.21408721886394086,0.2650580704819633,0.3285880278210738,0.4102729113670427,0.5206936141271571,0.6838245239028423,0.9770351520411292,1.2823921176573665,1.6979483568685803
2021-04-25,1,0.37,train,0.62,0.0006603359866041127,0.002435997539926269,0.006559351865097253,0.017800827568123956,0.032193439042066584,0.049386753787198374,0.06931103891893065,0.0920449538003194,0.11777959386281567,0.1468148721219313,0.17957455906781164,0.25880109437450255,0.3071598584973121,0.36327896741708543,0.4294713114083604,0.5093474292270809,0.6089869806998506,0.7398344633949056,0.9276805057899797,1.2551588334388752,1.5877994495074204,2.032243206287697
2021-05-02,1,0.76,train,0.81,0.026411690497076614,0.05074825857656421,0.08410983147893769,0.1419438184590472,0.19555598526359105,0.24797806828234184,0.30061128785328345,0.35437024590434746,0.4100014663465757,0.46821957183055324,0.5297909742425287,0.6667728767595905,0.7447253233511598,0.8314323374173798,0.9297295303214641,1.043964552517251,1.1813605934072218,1.3553633949683297,1.5959475892879322,1.9979285712709658,2.3913514296985907,2.901830239404689
2021-05-09,1,0.62,train,0.58,0.011524927687758065,0.025387173869963253,0.046559853751207206,0.08676531902214654,0.12656460814947373,0.16709266734772418,0.20899172129500632,0.2527738622077578,0.29893475757123966,0.34801304922123094,0.4006384054120112,0.519846990246459,0.5887454643942903,0.6661150542728291,0.7546227346515374,0.8583817143233444,0.9842542669366452,1.1450565148050111,1.3694468269568993,1.7483985300972207,2.1228754201026065,2.6125900301227705
2021-05-16,1,0.81,train,0.95,0.03337786986388484,0.06180989634007012,0.09967873475744372,0.16375602460273053,0.2221210830124014,0.2785718040622858,0.33480413231190037,0.3918847882965479,0.45065302997356355,0.5118872614588792,0.5764025440201446,0.7192165662704263,0.8001347431146815,0.8898985282601961,0.9913998405049836,1.1090642874512835,1.250234823414516,1.4285659905271737,1.6744691085658518,2.0840359747146735,2.4837224007013456,3.0010924043651817
2021-05-23,1,0.58,train,2.19,0.00851856488163128,0.01976154302668666,0.03765997997648106,0.07286182587936474,0.10859489429878119,0.14555125707977115,0.18418547922541575,0.2249061299434247,0.2681422540436366,0.31438440275260426,0.3642238731923223,0.47787774837895786,0.5439401593918332,0.618382573624006,0.7038203608010005,0.8042945915666058,0.9265561697053717,1.0832267393079464,1.302558221492914,1.6743392842382367,2.0429412585922773,2.5262451828286228
2021-05-30,1,0.95,train,3.68,0.05731904019528133,0.09780086458002436,0.1484156386728294,0.22962939670237748,0.30078655366238005,0.3679658329351655,0.4337181335785805,0.499543874309802,0.5665430624535246,0.6356712553945323,0.7078770970819858,0.8658985987721236,0.9545412445211803,1.0522637436052953,1.1621066161925284,1.2887006816690956,1.4397037745173293,1.6293192512255597,1.8891067002674147,2.3185178749681454,2.734633871231044,3.27013205161309
2021-06-06,1,2.19,train,4.72,0.47513411794773497,0.6234738253361641,0.7761762280174612,0.983802785074403,1.144355468387573,1.2843537644501146,1.4135232567425688,1.5368503431033418,1.6574605097067958,1.7776445905073601,1.8993300282359904,2.1546775800212004,2.292595129174657,2.441034275275006,2.6040198140192072,2.7875329812073293,3.0012977850500167,3.263117948864154,3.612099363308966,4.169861702195987,4.693178650519719,5.348099461678171
2021-06-13,1,3.68,train,6.55,1.2426685133161175,1.4991370115491989,1.7480015783828622,2.0691505698846466,2.307396692515395,2.5095351665638903,2.69217045457999,2.863556650063296,3.0286836291844965,3.191051181781531,3.353458809929804,3.6885714190958185,3.8667562705300607,4.056591553438229,4.262923778399494,4.492856123995832,4.757825345087362,5.07861871004089,5.500602818567011,6.163839061646611,6.775738140040742,7.529968911975151
2021-06-20,1,4.72,train,8.5,1.8677512237980414,2.188722166149349,2.4939774809496766,2.8808032353901876,3.1635629646876606,3.401100765752523,3.614072435294119,3.812644916284723,4.002893880176996,4.1890197096186,4.374324627828704,4.754196998745035,4.954939966119035,5.167944393056332,5.398518066182026,5.654392282893128,5.947961141526008,6.301678255702482,6.764406153667086,7.486506318938575,8.147858646807626,8.9575675868339
2021-06-27,1,6.55,train,12.38,3.0762756603780645,3.4959916003968035,3.8867955123433795,4.372513927253942,4.721921234418885,5.012274122532937,5.270390587390921,5.509337461588523,5.7368316168507345,5.958129129090061,6.17728708924082,6.62322233493674,6.857208220487242,7.104323329971374,7.370553434773957,7.664550619079247,8.000109904909282,8.402120566875466,8.924551241573218,9.732798595238506,10.466437036415535,11.357149162146559
2021-07-04,1,8.5,train,15.81,4.467408016579178,4.977677896234219,5.446349285806522,6.0215007462485435,6.430872189750961,6.768585705496085,7.067082127152283,7.342066886921722,7.602746180274051,7.855331233536861,8.104559659017669,8.609057969479778,8.872456436751001,9.14971431535465,9.4474136456171,9.775013561743686,10.147533971407869,10.591990073824071,11.16680135100786,12.050452651450243,12.84719958758892,13.808447737437648
2021-07-11,1,12.38,train,20.22,7.439331144232335,8.099905340807974,8.696879205633211,9.41840676378473,9.92537455655707,10.339877159895972,10.703646730142589,11.036736170075908,11.350798342219587,11.653608121820769,11.951012210549596,12.549069199624297,12.859325564443338,13.184514336184114,13.532156354510253,13.912974769292113,14.34390040841824,14.855255296623563,15.512364931534186,16.51396650414498,17.40893072145429,18.47937154845738
2021-07-18,1,15.81,train,22.95,10.220031951511272,10.990566117349584,11.680731000655932,12.507846603770556,13.084791804470875,13.55411723550298,13.964325259103274,14.338627239850855,14.690447923314412,15.028690096031452,15.359996257822386,16.02365190789201,16.366641499984606,16.725227691925102,17.10757538923652,17.52526854143894,17.996531930173273,18.553916821223204,19.267386174898196,20.34921602012723,21.31045037451644,22.453926757782202
