Region,RSV_PC,Week,Year
Toyama,4.62,19,2015
Ishikawa,5.45,19,2015
Fukui,10.36,19,2015
Yamanashi,4.13,19,2015
Nagano,6.42,19,2015
Gifu,5.04,19,2015
Shizuoka,6.42,19,2015
Aichi,4.69,19,2015
Mie,6.24,19,2015
Shiga,7.28,19,2015
Kyoto,3.44,19,2015
Osaka,13.98,19,2015
Hyogo,10.91,19,2015
Nara,11.06,19,2015
Wakayama,18.39,19,2015
Tottori,3.26,19,2015
Shimane,9.26,19,2015
Okayama,4.83,19,2015
Hiroshima,6.37,19,2015
Yamaguchi,14.42,19,2015
Tokushima,19.17,19,2015
Kagawa,12.04,19,2015
Ehime,16.97,19,2015
Kochi,12.27,19,2015
Fukuoka,17.03,19,2015
Saga,17.35,19,2015
Nagasaki,14.55,19,2015
Kumamoto,13.22,19,2015
Oita,11.56,19,2015
Miyazaki,30.56,19,2015
Kagoshima,14.69,19,2015
Okinawa,18.35,19,2015
Total No.,8.81,20,2015
Hokkaido,12.34,20,2015
Aomori,6.95,20,2015
Iwate,6.6,20,2015
Miyagi,5.6,20,2015
Akita,3.38,20,2015
Yamagata,4.14,20,2015
Fukushima,15.16,20,2015
Ibaraki,5.25,20,2015
Tochigi,5.9,20,2015
Gunma,7.14,20,2015
Saitama,6.02,20,2015
Chiba,3.8,20,2015
Tokyo,5.02,20,2015
Kanagawa,4.38,20,2015
Niigata,9.02,20,2015
Toyama,4.66,20,2015
Ishikawa,5.59,20,2015
Fukui,10.36,20,2015
Yamanashi,4.13,20,2015
Nagano,6.43,20,2015
Gifu,5.08,20,2015
Shizuoka,6.42,20,2015
Aichi,4.72,20,2015
Mie,6.27,20,2015
Shiga,7.28,20,2015
Kyoto,3.47,20,2015
Osaka,14.08,20,2015
Hyogo,10.97,20,2015
Nara,11.18,20,2015
Wakayama,18.52,20,2015
Tottori,3.32,20,2015
Shimane,9.48,20,2015
Okayama,4.85,20,2015
Hiroshima,6.48,20,2015
Yamaguchi,14.88,20,2015
