YEAR,WEEK,flu_season_year,flu_weekid,holiday_effect,date,ILI+,ILI_weight,pos,ILI_est,beta,S,I,R
2004,28,2004,38,0,2004-07-18,0.015577372654155,0.581036,0.002680965147453,0.25631966597611344,0.24244503880557544,92535.44113942113,19.2025647953549,7445.356295783431
2004,29,2004,39,0,2004-07-25,0.0176016341030191,0.495486,0.0035523978685612,0.26160239097617416,0.24301755990038326,92779.77729246157,19.673300797578218,7200.549406740644
2004,30,2004,40,0,2004-08-01,0.0,0.61209,0.0,0.1320693888760102,0.2369132180215768,93077.36682975104,10.795861885488868,6911.837308363523
2004,31,2004,41,0,2004-08-08,0.0169264649681524,0.531491,0.0031847133757961,0.17884135013345756,0.2382760755015054,93310.7906024248,13.807756246361146,6675.401641328495
2004,32,2004,42,0,2004-08-15,0.0083868870967739,0.519987,0.0016129032258064,0.19932418522778098,0.23974765952608143,93535.02269523252,15.444642577049791,6449.532662190343
2004,33,2004,43,0,2004-08-22,0.0088790726429673,0.574476,0.0015455950540958,0.21677318043034752,0.24037353604756756,93748.32280748172,16.563411276269193,6235.113781241852
2004,34,2004,44,0,2004-08-29,0.0322320777642769,0.663175,0.0048602673147023,0.24382062342403046,0.24191682789786007,93954.14090720106,18.352191940741218,6027.506900858217
2004,35,2004,45,0,2004-09-05,0.0297311245465533,0.614691,0.0048367593712212,0.26866428840600387,0.24339322492372903,94144.71247397686,19.71462994560783,5835.57289607734
2004,36,2004,46,0,2004-09-12,0.023971642335766,0.656823,0.0036496350364963,0.2755251531611791,0.24393368481796893,94330.7662845013,20.844082276446716,5648.389633222284
2004,37,2004,47,0,2004-09-19,0.0558005733186323,0.723016,0.0077177508269018,0.3034106696463193,0.24541367947065862,94501.6707642314,22.702179931852857,5475.627055836453
2004,38,2004,48,0,2004-09-26,0.0310946966292134,0.691857,0.0044943820224719,0.30782612253735564,0.2456377334990357,94668.34703092997,22.413422840040095,5309.239546229796
2004,39,2004,49,0,2004-10-03,0.1192449619151248,0.782758,0.015233949945593,0.34562460907736636,0.2479285772501573,94811.80463120168,25.583519365709684,5162.611849432687
2004,40,2004,50,0,2004-10-10,0.0633725806451612,0.982275,0.0064516129032258,0.3601063025836696,0.2485293014295709,94958.21769398397,26.545326001827114,5015.236980014071
2004,41,2004,51,0,2004-10-17,0.066178922934076,1.01821,0.0064995357474466,0.3716368707465052,0.2489509610588529,95104.5334676496,28.47863074549147,4866.987901604861
2004,42,2004,52,0,2004-10-24,0.1902786069651739,1.1768,0.0161691542288557,0.4349730861436194,0.2511532481298546,95224.79951202314,31.92418039563694,4743.276307581255
2004,43,2004,53,0,2004-10-31,0.1589264122137395,1.30121,0.0122137404580152,0.4652989523288467,0.25281063311155455,95339.30318170726,34.08968242660875,4626.607135866157
2004,44,2005,1,0,2004-11-07,0.2074547094911581,1.27746,0.0162396246842295,0.5066984223264654,0.2543140246656942,95443.3977954486,36.65649167042211,4519.945712881054
2004,45,2005,2,0,2004-11-14,0.2831487963565382,1.40387,0.0201691607026675,0.5677096771103909,0.2561081634838952,95532.3383742601,41.51825546752401,4426.1433702725535
2004,46,2005,3,0,2004-11-21,0.3899604833836851,1.40301,0.0277945619335347,0.6598286335164594,0.25819034479703046,95605.03488981802,47.42250171748944,4347.542608464441
2004,47,2005,4,0,2004-11-28,0.3411274509803921,1.73975,0.0196078431372549,0.7206829716674715,0.2595459199484306,95672.84960731905,52.17936998843318,4274.971022692529
2004,48,2005,5,0,2004-12-05,0.5618002613695754,1.56894,0.0358076319916361,0.8307059173705713,0.2624203818810218,95712.14367479988,60.6599343405019,4227.196390859649
2004,49,2005,6,0,2004-12-12,0.8326549921996879,1.65927,0.0501820072802912,0.9964114986929389,0.2655261462291818,95725.04971310426,71.93350309481107,4203.016783800839
2004,50,2005,7,0,2004-12-19,1.1898033035099784,1.81341,0.0656113787565955,1.2255973346840354,0.26851056880940233,95701.61042072589,88.61350425331283,4209.7760750206935
2004,51,2005,8,0,2004-12-26,2.7983900199600797,2.37626,0.1177644710578842,1.8295585418696667,0.2754688831241335,95540.02259432878,131.7602086517252,4328.217197019605
2004,52,2005,9,0,2005-01-02,4.642183502669192,2.77052,0.1675563974513518,3.0467500122997637,0.29150030138052757,95203.9329075068,219.33560194767597,4576.7314905455105
2005,1,2005,10,1,2005-01-09,4.457191735298366,2.40064,0.1856668111544574,4.3964634974495445,0.29888689890696907,94785.35268435915,314.4799275201603,4900.167388120804
2005,2,2005,11,0,2005-01-16,4.306026632560937,2.54155,0.1694252181763466,5.062259423098423,0.29124299657782754,94404.41671648518,363.5190509390727,5232.064232575821
2005,3,2005,12,0,2005-01-23,6.101708304548072,2.85871,0.2134427173287277,6.357060101751534,0.29430041501015125,93809.68762296991,455.51589031239604,5734.796486717688
2005,4,2005,13,0,2005-01-30,8.270293707865168,3.55011,0.2329588014981273,8.365118964998704,0.29846692484110365,92963.8566833923,598.8147185487362,6437.3285980588835
2005,5,2005,14,0,2005-02-06,12.320592500577764,4.58591,0.2686618904552807,12.12878739566732,0.3107396000715841,91623.2720077418,868.135008513476,7508.592983744712
2005,6,2005,15,0,2005-02-13,13.428696189591076,5.05809,0.2654894671623296,14.343951663816767,0.3040296987282271,90174.47071848047,1026.2148926027821,8799.314388916697
2005,7,2005,16,0,2005-02-20,13.904481910069904,5.44151,0.2555261666351785,15.258523550260518,0.2965767962053842,88777.42818957347,1094.7323970528842,10127.839413373746
2005,8,2005,17,0,2005-02-27,10.49358002059732,4.4729,0.2346035015447991,13.478148020304713,0.2811788863417985,87839.37109850811,975.9664068845128,11184.662494607299
2005,9,2005,18,0,2005-03-06,7.332263658794499,3.6752,0.1995065209728586,10.228735532424075,0.2618674717324956,87202.2302542799,749.9794496400309,12047.790296080098
2005,10,2005,19,0,2005-03-13,5.350560422163589,3.3353,0.1604221635883905,7.253462690568081,0.24503923142659076,86878.76858132919,540.1116546016548,12581.119764069148
2005,11,2005,20,0,2005-03-20,4.679758287461773,2.76224,0.1694189602446483,5.408766119807419,0.23979061177784003,86728.40697913131,403.72781495555165,12867.86520591316
2005,12,2005,21,0,2005-03-27,3.61854649122807,2.46844,0.1465924426450742,4.105454656620189,0.23841845639739107,86738.59441609295,307.10674982519265,12954.298834081803
2005,13,2005,22,0,2005-04-03,2.2096986170627178,2.00081,0.1104402025710946,2.89868233938769,0.23277548423810776,86938.08625648623,218.1253919625667,12843.788351551095
2005,14,2005,23,0,2005-04-10,1.4068629943502824,1.54319,0.091165896250642,2.0380861804089703,0.22938897895372112,87216.59227346814,153.38747400867246,12630.020252523065
2005,15,2005,24,0,2005-04-17,0.7916837376460011,1.50195,0.0527103923330338,1.4034592787663802,0.22640515310151346,87553.72094591428,106.58817918873768,12339.690874897053
2005,16,2005,25,0,2005-04-24,0.5154760995567668,1.22918,0.0419365837026934,1.006978333733164,0.2255205081117795,87910.19735022054,76.44911647640227,12013.35353330303
2005,17,2005,26,0,2005-05-01,0.3271566536964974,1.21854,0.0268482490272373,0.746482631408272,0.22590000836780114,88287.51348591164,56.434077192599275,11656.052436895667
2005,18,2005,27,0,2005-05-08,0.2625525333333325,1.15832,0.0226666666666666,0.5932342814443716,0.22781825090217667,88640.3311657581,44.37574506349532,11315.293089178404
2005,19,2005,28,0,2005-05-15,0.2163529962546809,1.249,0.0173220973782771,0.49058394144513395,0.23046536187167577,88990.71657642056,36.82266600979109,10972.460757569605
2005,20,2005,29,0,2005-05-22,0.2413251455796712,1.16888,0.0206458443620963,0.4435948291194527,0.2336575108955178,89345.18490376911,33.184784181614184,10621.630312049316
